ID;FechaHora;NombreResponsable;Area;Circuito;Estructura_Tag;Latitud_GPS;Longitud_GPS;Latitud_Manual;Longitud_Manual;Observaciones_Generales;Apoyo_Tipo;Apoyo_Subtipo;Apoyo_Observacion;Apoyo_Cantidad;Configuracion;Disposicion;Altura;Caracteristicas_Placa;Avifauna_Poste;Avifauna_Equipos;Avifauna_Observaciones;Diagonal_Tirante;Cruceta_Crucero;Cruceta_Tipo;Cruceta_Cantidad;Observacion_Cruceta;Bayoneta;Bayoneta_Tipo;Bayoneta_Observaciones;Templete_Anclaje;Templete_Cantidad;Templete_Avifauna;Templete_Observaciones;Aislador_Tipo;Aislador_A;Aislador_B;Aislador_C;DPS_Pararrayos;DPS_A;DPS_B;DPS_C;Seccionador;Reconectador;Linepost;Transformador;PT;CT;Fusible;Mufa;Enrollamiento_Cable;Observaciones_Equipos;Afloramiento;Conectores_Afloramiento;Tuberia_Afloramiento;Cable;SPT_Bajante;SPT_Conexion;SPT_Cantidad;SPT_Estado;Herrajes_Accesorios;Cable_De_Guarda;Otras_Observaciones;Ruta_Fotos
12;2025-09-19 13:29:28;;;;E1;13.9909861;-89.5284093;;;poste más alto temolete lateral flojo  poste en patio parqueo etesal;Poste;Concreto;paso flojo desde portico;1;Terminal (Remate);Horizontal;;No;No;No;;No;No;Metálica;4;dos niveles terminales ambos;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250919_132934_3517783316450461124.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250919_132941_8884018049319158214.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250919_133848_8747657837768452406.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250919_133949_8698992801770150912.jpg
11;2025-09-17 11:50:26;alejandro;;;E93;13.9878196;-89.4119472;;;2 templetes long rotos falta templetes a un lado temolete a poste sobre la via templetes q quedan flojos refuerzo a postes con concreto poste muy cerca de via comparte servidumbre con otra línea 23 kv;Poste;Concreto;re 300;3;Retención (Corte);Horizontal;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_115032_8664507144120488475.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_115144_6854224413466410914.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_115156_1337351064045899074.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_115224_8279111593156270102.jpg
10;2025-09-17 11:24:36;alejandro;;;E89;13.9870907;-89.4149127;;;punto cercano 3 templetes rotos 2 laterales 1 long te pletes flojos   ;Poste;Concreto;re300;3;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_112528_8514050483002133982.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_112537_3359105391413848413.jpg
9;2025-09-17 11:12:24;alejandro;;;E88;;;;;re300 templetes flojos ;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_111231_730924316410336736.jpg
8;2025-09-17 09:57:26;alejandro;;sta Ana - eb1;E86;13.9845517;-89.4239883;;;aisladores linepost y cerámica estructura en ladera  coordenadas cerca;Poste;Concreto;;;Retención (Corte);Horizontal;12;No;No;No;;No;No;Metálica;2;;No;Sencilla;;Sí;16;;;Ceramica (Aislador de suspensión);4;4;4;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_100248_4448394504260973645.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_100259_3842934734556793110.jpg
7;2025-09-17 09:44:55;alejandro;;;E85;13.9842386;-89.42654;;;aisladores poliméricos templete sflojos tensores rotos..cables en mal funcionamiento;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;
6;2025-09-17 09:25:15;alejandro;;;E84;;;;;placa de marcación desactualizada un templete lateral roto. templetes flojos ;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;
5;2025-09-17 09:04:27;alejandro;;;E83;13.98235;-89.4328733;;;no accesible punto en casa cercana;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_092538_5478462129402387566.jpg
4;2025-09-17 08:44:10;alejandro;;;E81;13.9828895;-89.4361466;;;punto no está en poste poste ok;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_084449_8772050764113738488.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_084457_2382269770403389161.jpg
3;2025-09-17 08:44:01;Alejandro;;;E82;13.9834167;-89.4352567;;;templetes flojos dos aisladores x templete doble templetes en cada poste;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;
2;2025-09-17 08:29:08;alejandro;;;E80;13.9834942;-89.437972;;;varilla anclaje no sobresale te oletes de linea flojos no usan guardacanos sino helicoides para templetes;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;
1;2025-09-17 08:25:57;alejandro;;;E79;13.9835485;-89.4380455;;;unos templetes con doble aislador otros nimguno;Poste;NA;;;Retención (Corte);Triangular;;No;No;No;;No;No;Metálica;;;No;Sencilla;;No;;;templetes flojos varilla de anclaje no sobresale del piso;Ceramica (Aislador de suspensión);;;;No;;;;No;No;No;No;No;No;No;No;No;;No;Premoldeados;PVC;No;No;;;;;No;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_082809_2424213647346047231.jpg,/storage/emulated/0/Download/RegistrosExportados/JPEG_20250917_082832_4896869118666373203.jpg
